"Organization - Name","Organization - Labels","Organization - Address","Organization - People","Organization - Closed deals","Organization - Open deals","Organization - Next activity date","Organization - Owner","Organization - Won deals"
"Chotest Technology","Vendor","","2","0","0","","Alexandru Udrea","0"
"RASIROM","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Kluthe Chemicals Romania s.r.l","Vendor","","1","0","0","","Alexandru Udrea","0"
"Pulzor Technology SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"PFA Marius Verdes","CUSTOMER","","1","0","1","","Alexandru Udrea","0"
"GT Vision Ltd","Vendor","","2","0","0","","Alexandru Udrea","0"
"Universitatea Nationala de Arte Bucuresti","CUSTOMER","","1","2","0","","Alexandru Udrea","1"
"ZES Zollner Electronic","CUSTOMER","","5","4","0","","Alexandru Udrea","1"
"Contrall","Vendor","","1","0","0","","Alexandru Udrea","0"
"Romanian National Institute of Marine Geology and Geoecology - GeoEcoMar","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"SSAB-AG","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"PI-KEM","Vendor","","1","0","0","","Alexandru Udrea","0"
"Toptech","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"ITCSMS Giurgiu","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Headlight Solutions","CUSTOMER","","1","0","1","","Alexandru Udrea","0"
"ASA&NST TRADE","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"vida XL","Vendor","","0","0","0","","Alexandru Udrea","0"
"Hidroelectrica","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Ortner Reinraumtechnik GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Eurodidactica","Vendor","","0","0","0","","Alexandru Udrea","0"
"Orchid","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Proiectare-circuite","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Plantare & Proiectare PCB SRL","CUSTOMER","","0","0","1","","Alexandru Udrea","0"
"Fluid Control Systems","Vendor","","1","0","0","","Alexandru Udrea","0"
"Tehnic Profil","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"LMI Technologies","Vendor","","1","0","0","","Alexandru Udrea","0"
"Softlink","Vendor","","0","0","0","","Alexandru Udrea","0"
"Emag","Vendor","","0","0","0","","Alexandru Udrea","0"
"STRABAG","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Compac","Vendor","","0","0","0","","Alexandru Udrea","0"
"Neagoe Fluoropolimeri SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"Gisbar Comert","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Omnia Europe S.A","CUSTOMER","","2","1","0","","Alexandru Udrea","0"
"UMF ""Victor Babes"" Timisoara","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Ramiro","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Para Team Aviation SRL","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Institutul Microtehnologie Bucuresti","CUSTOMER","","1","0","0","","Alexandru Udrea","0"
"Bilka Brasov","CUSTOMER","","2","0","0","","Alexandru Udrea","0"
"Fev Automotiv","","","1","0","0","","Alexandru Udrea","0"
"iB Cargo","Transportator","","2","0","0","","Alexandru Udrea","0"
"CMB COMERCIAL GROUP SRL","CUSTOMER","","1","1","0","","Alexandru Udrea","0"
"Terra Universal","Vendor","","1","0","0","","Alexandru Udrea","0"
"MTT GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"https://drive.google.com/open?id=1u34VoOzU4Mg0CID4TzJdrcwHtnT6K5X5&usp=drive_fs","","","0","0","0","","Alexandru Udrea","0"
"https://drive.google.com/drive/folders/1kwcIzEkDeaXM64KhZSLmma_lw9kj7lMY?usp=drive_link","","","0","0","0","","Alexandru Udrea","0"
"Doga","Vendor","","1","0","0","","Alexandru Udrea","0"
"Tecomotive","","","1","0","0","","Alexandru Udrea","0"
"Zhengzhou YKndt Group","Vendor","","1","0","0","","Alexandru Udrea","0"
"SOLOMON Technology Corporation","Vendor","","4","0","0","","Alexandru Udrea","0"
"ICCP Messtechnik GmbH","","","0","0","0","","Alexandru Udrea","0"
"Lapp Romania SRL","","","0","0","0","","Alexandru Udrea","0"
"Hendi","","","0","0","0","","Alexandru Udrea","0"
"PO_GS_02481","","","0","0","0","","Alexandru Udrea","0"
"PO_GS_02481-1","","","0","0","0","","Alexandru Udrea","0"
"Esat.Oncu@tr.bosch.com","","","1","0","0","","Alexandru Udrea","0"
"E.F.S. Equipfix SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"Oxide","","","0","0","0","","Alexandru Udrea","0"
"CardioMedive","","","1","1","0","","Alexandru Udrea","0"
"PVA TePla Analytical Systems GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Amazon","","","0","0","0","","Alexandru Udrea","0"
"Eu automation","","","0","0","0","","Alexandru Udrea","0"
"Etex Building Performance S.A","","","1","1","0","","Alexandru Udrea","0"
"InfiniTrade Romania","","","4","2","1","2024-11-26","Alexandru Udrea","0"
"VisiAid - Sehhilfen","","","0","0","0","","Alexandru Udrea","0"
"Elektro-Mechanik-Unterellen GmbH","","","0","0","0","","Alexandru Udrea","0"
"Hayear","Vendor","","1","0","0","","Alexandru Udrea","0"
"PO_GS_02545","","","0","0","0","","Alexandru Udrea","0"
"Shenzen Quanda Plastic","Vendor","","1","0","0","","Alexandru Udrea","0"
"Eco Fire Sistems","","","1","1","0","","Alexandru Udrea","0"
"ASD Systems","Vendor","","1","0","0","","Alexandru Udrea","0"
"Heroje","Vendor","","1","0","0","","Alexandru Udrea","0"
"PO_GS_02567","","","0","0","0","","Alexandru Udrea","0"
"PO_GS_02570","","","0","0","0","","Alexandru Udrea","0"
"PO_GS_02571","","","0","0","0","","Alexandru Udrea","0"
"Smart Trade","Vendor","","0","0","0","","Alexandru Udrea","0"
"General Industrial Service","CUSTOMER","","1","3","0","","Alexandru Udrea","3"
"Mafcom","","","0","0","0","","Alexandru Udrea","0"
"Showa","","","0","0","0","","Alexandru Udrea","0"
"FAMAGA Group GmbH & Co. KG","CUSTOMER","","3","3","0","","Alexandru Udrea","0"
"Sonepar","","","0","0","0","","Alexandru Udrea","0"
"Euautomation","","","1","0","0","","Alexandru Udrea","0"
"https://drive.google.com/drive/folders/1JgCCDGDuzfhifjzIh7LOxw_y8kaNNn5M?usp=drive_link","","","0","0","0","","Alexandru Udrea","0"
"Sos Electronic","","","1","0","0","","Alexandru Udrea","0"
"Sirteq SRL","Vendor","","1","0","0","","Alexandru Udrea","0"
"Amscope","","","0","0","0","","Alexandru Udrea","0"
"Kowa Optimed Deutschland GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"Yellow Store","","","0","0","0","","Alexandru Udrea","0"
"OK International","","","0","0","0","","Alexandru Udrea","0"
"Administraţia Bazinală de Apă Prut-Bârlad - Sistemul de Gospodărire a Apelor Galați","","","1","1","0","2025-06-09","Alexandru Udrea","0"
"Protectstore by Marvel","","","0","0","0","","Alexandru Udrea","0"
"Magazinul Apicultorului","","","0","0","0","","Alexandru Udrea","0"
"UFUK Kontrol","Vendor","","2","0","0","","Alexandru Udrea","0"
"Armfield Ltd.","","","0","0","0","","Alexandru Udrea","0"
"Von Mag","","","0","0","0","","Alexandru Udrea","0"
"Novapan","","","1","1","0","","Alexandru Udrea","0"
"Graticules Optics Ltd.","Vendor","","1","0","0","","Alexandru Udrea","0"
"Altex","","","0","0","0","","Alexandru Udrea","0"
"Aldo Music Management","","","1","0","1","2025-07-21","Alexandru Udrea","0"
"Biobase","","","0","0","0","","Alexandru Udrea","0"
"Varitec Fluid","","","0","0","0","","Alexandru Udrea","0"
"Furnissa","","","0","0","0","","Alexandru Udrea","0"
"Nightfox","","","0","0","0","","Alexandru Udrea","0"
"Delta Engineering Automation","","","1","1","0","","Alexandru Udrea","0"
"ORDER-000000081","","","0","0","0","","Alexandru Udrea","0"
"Eximod","","","0","0","0","","Alexandru Udrea","0"
"PF Popa Elena Madalina","","","1","1","0","","Alexandru Udrea","0"
"PF Iasmina Petculescu","","","1","1","0","2025-10-13","Alexandru Udrea","1"
"Neura Robotics GmbH","Vendor","","4","0","0","","Alexandru Udrea","0"
"Shenzhen Domino Times Technology Co.,Ltd","Vendor","","1","0","0","","Alexandru Udrea","0"
"GlobalSource","","","0","0","0","","Alexandru Udrea","0"
"sdf","","","0","0","0","","Alexandru Udrea","0"
"Camera Deputatilor","","","1","1","0","","Alexandru Udrea","0"
"Addium Gmbh","","","0","0","0","","Alexandru Udrea","0"
"Evixscan 3D","Vendor","","1","0","0","","Alexandru Udrea","0"
"Persoana Fizica","","","1","0","1","2026-01-12","Alexandru Udrea","0"
"DOLD Mechatronik GmbH","Vendor","","1","0","0","","Alexandru Udrea","0"
"DsT Industrial Solution Kft.","Vendor","","1","0","0","","Alexandru Udrea","0"
"Mapason","","","0","0","0","","Alexandru Udrea","0"
"Dedeman","","","0","0","0","","Alexandru Udrea","0"
"Premium Chem Expert SRL","","Bucuresti","1","0","1","2024-08-26","Alexandru Udrea","0"
"VACUSERV SRL","Vendor","București","1","0","0","","Alexandru Udrea","0"
"Distek Test","Vendor","030352 Bucharest, Sector 3, Bd. Basarabia nr.250, Corp Administrativ, Et.2, Cam.8","1","1","0","","Alexandru Udrea","0"
"MHC Industrial Supply","Vendor","115 Qiuyang Road, Chengyang District, Qingdao, Shandong, China, 266109","1","0","0","","Alexandru Udrea","0"
"MB Distribution","Vendor","162, Barbu Vacarescu Blvd. 020284 Bucuresti, Sector 2","3","0","0","","Alexandru Udrea","0"
"Solutionix","Vendor","19 Goryeodae-ro 22-gil, Seongbuk-gu, Seoul, Korea","1","0","0","","Alexandru Udrea","0"
"Romanian Academy Institute of Geodynamics ""Sabba S. Stefanescu""","CUSTOMER","19-21,  Jean Louis Calderon str., Bucuresti 37, R-70201,    ROMANIA","1","1","0","","Alexandru Udrea","1"
"Voestalpine Railway Systems Romania SA","CUSTOMER","2 Brailei St, Buzau, Romania","1","0","0","","Alexandru Udrea","0"
"Habasit Belting","Vendor","300620 - Timisoara, Str Dan Mateescu nr 5","2","0","0","","Alexandru Udrea","0"
"National Institute of Materials Physics","CUSTOMER","405A Atomistilor Street, P.O.Box MG-7, 077125 Bucharest-Magurele, ROMANIA","0","1","0","","Alexandru Udrea","0"
"Aaronia AG","Vendor","54597 Strickscheid, Germany","1","0","0","","Alexandru Udrea","0"
"Scienscope","Vendor","5751 Schaefer Ave, Chino, CA 91710, USA","1","0","0","","Alexandru Udrea","0"
"SINOSTAR LIGHTING GROUP LTD.","Vendor","5F, #11 Building, Fenjiang N. Rd., Foshan 528000, Guangdong, China Postal Code: 528000","1","0","0","","Alexandru Udrea","0"
"Tech-Con Romania","CUSTOMER","60 Calea Crangasi, 060346 Bucuresti","1","0","0","","Alexandru Udrea","0"
"Medical University Plovdiv","CUSTOMER","6yn Bacna Avenue , Plovdiv, 4002 Tsentar","1","1","0","","Alexandru Udrea","0"
"LamPlan","Vendor","7 Rue des Jardins, 74240 Gaillard, France","1","0","0","","Alexandru Udrea","0"
"Daylight Company","Vendor","89-91 Scrubs Lane London NW10 6QU","1","0","0","","Alexandru Udrea","0"
"Universitatea Dunarea de Jos Galati","CUSTOMER","Adresa: str. Domnească nr.47, Galați, România","12","10","3","","Alexandru Udrea","2"
"SC ELSTER GRUP SRL","","Alba Iulia","1","0","0","","Alexandru Udrea","0"
"Bosch Automotive SRL","CUSTOMER","Alba, Romania","70","289","26","2025-02-17","Alexandru Udrea","241"
"Cugir Arms Factory S.A.","CUSTOMER","Alba, Romania","4","0","1","","Alexandru Udrea","0"
"Prodcom Alba Com","CUSTOMER","Alba, Romania","1","0","0","","Alexandru Udrea","0"
"Star Transmission S.R.L","CUSTOMER","Alba, Romania","3","2","0","2026-01-05","Alexandru Udrea","0"
"Colegiul National ""Inochentie Micu Clain"" Blaj","CUSTOMER","Alba, Romania","1","1","0","","Alexandru Udrea","0"
"Recond  - Olteanu-Ignatovici SRL","CUSTOMER","Aleea 3 Drumul Apelor 11, Craiova, Romania, 200453","1","0","0","","Alexandru Udrea","0"
"VectorQ","Vendor","Aleea Barajul Sadului 4 Bl.T2, Sc.C, Et.1, Ap.94 Sector 3, Bucharest Romania, RO-032744","1","0","0","","Alexandru Udrea","0"
"Institutul de Chimie Macromoleculara Petru Poni","CUSTOMER","Aleea Grigore Ghica Vodă 41a, Iași, Romania","1","1","0","","Alexandru Udrea","0"
"Institute of Macromolecular Chemistry Petru Poni Iasi","CUSTOMER","Aleea Grigore Ghica Vodă nr. 41A, Iași 700487","1","0","0","","Alexandru Udrea","0"
"LPKF WeldingQuipment GmbH","Vendor","Alfred-Nobel-Str. 55-57 90765 Fürth Deutschland","2","0","0","","Alexandru Udrea","0"
"PTR Strahltechnik GmbH","CUSTOMER","Am Erlenbruch 9, 63505 Langenselbold, Germany","3","5","1","2026-03-18","Alexandru Udrea","4"
"Industrievertretung Braeunlich Gmbh","","Am Heideberg 26, Wittenberg, Germany","1","0","0","","Alexandru Udrea","0"
"Meilhaus Electronic GmbH","Vendor","Am Sonnenlicht 2 82239 Alling","2","0","0","","Alexandru Udrea","0"
"PSC Automatizari si Instalatii","CUSTOMER","Apahida, Romania","2","0","0","","Alexandru Udrea","0"
"Fara Companie","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Fara Companie","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Aliva Calibration","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Alphr Technology Europe","CUSTOMER","Arad, Romania","2","0","0","","Alexandru Udrea","0"
"APTIV","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Astra Rail Industries","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Astra Vagoane","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"BOA (Romania) Bellows Technology","CUSTOMER","Arad, Romania","2","0","0","","Alexandru Udrea","0"
"Dasre SRL","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Eufelisa","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Fero-Pact","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Greenbrier Europe","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Hella Arad","CUSTOMER","Arad, Romania","12","27","4","2025-11-17","Alexandru Udrea","17"
"Huf Romania","CUSTOMER","Arad, Romania","15","59","5","2025-09-17","Alexandru Udrea","26"
"Joyson Safety Systems Arad S.R.L.","CUSTOMER","Arad, Romania","13","0","1","2026-01-30","Alexandru Udrea","0"
"Kss Curtici inspectie 3D","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Leoni Wiring Systems","CUSTOMER","Arad, Romania","11","1","0","2026-02-06","Alexandru Udrea","0"
"Milca SRL","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Performance Lubricants","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"PQ - PLAST SRL","CUSTOMER","Arad, Romania","5","0","1","2025-11-03","Alexandru Udrea","0"
"Systronics - Cicor Group","CUSTOMER","Arad, Romania","3","1","1","2025-10-17","Alexandru Udrea","0"
"Sysmec","CUSTOMER","Arad, Romania","3","3","0","","Alexandru Udrea","3"
"Termostampi Rom Srl","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Universitatea Aurel Vlaicu Arad","CUSTOMER","Arad, Romania","7","0","0","","Alexandru Udrea","0"
"Universitatea de Vest ""Vasile Goldis"" - Arad","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Vasile Goldis Western University Arad","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"VAT GROUP","CUSTOMER","Arad, Romania","5","3","0","2025-04-21","Alexandru Udrea","2"
"Builders Exchange of Michigan","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"D.B. Group Spa","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"eujoysonkeysaftysystem.com","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Eurotopaz","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"FCIndustrial","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"najlepsielectric.com","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Panduit","CUSTOMER","Arad, Romania","4","0","0","","Alexandru Udrea","0"
"Scule Arad","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"Yazaki Component Technology - Arad","CUSTOMER","Arad, Romania","16","11","2","2025-11-20","Alexandru Udrea","6"
"TB&C Outsert Romania SRL","CUSTOMER","Arad, Romania","1","0","0","","Alexandru Udrea","0"
"PFA Madalin Taran","CUSTOMER","Arad, Romania","1","1","0","","Alexandru Udrea","1"
"Alko","CUSTOMER","Arad, Romania","2","0","0","2026-01-30","Alexandru Udrea","0"
"Automobile Dacia S.A.","","Arges","0","0","0","","Alexandru Udrea","0"
"Contact Electric","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Dacia Groupe","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Greiner Assistec","CUSTOMER","Arges, Romania","2","0","0","","Alexandru Udrea","0"
"Intech","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Montana MG","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Oprescu Technology","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Gold Plast Group","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"CNC Crafting","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Art of Metal","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"Societatea Nationala NuclearElectrica SA","CUSTOMER","Arges, Romania","5","6","0","","Alexandru Udrea","1"
"Yildizentegre","CUSTOMER","Arges, Romania","1","1","0","","Alexandru Udrea","0"
"Multichron Techno Logistic","CUSTOMER","Arges, Romania","1","1","0","","Alexandru Udrea","0"
"Brop International","CUSTOMER","Arges, Romania","1","2","1","","Alexandru Udrea","0"
"Electric Control","CUSTOMER","Arges, Romania","2","0","1","2025-09-22","Alexandru Udrea","0"
"Alfa Rom Carpaţi Industrial Grup S.R.L.","CUSTOMER","Arges, Romania","2","0","0","","Alexandru Udrea","0"
"Ipad","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"TFM Metal Industry","CUSTOMER","Arges, Romania","3","5","0","2025-04-30","Alexandru Udrea","1"
"Nuclear Fuel Plant Pitesti","CUSTOMER","Arges, Romania","1","2","0","","Alexandru Udrea","0"
"Horse Cars","CUSTOMER","Arges, Romania","1","0","0","","Alexandru Udrea","0"
"CER Cleaning Equipment S.R.L (KARCHER)","CUSTOMER","Argeș, Romania","1","0","3","","Alexandru Udrea","0"
"Sildvb Com S.A.","CUSTOMER","Argeș, Romania","1","0","0","","Alexandru Udrea","0"
"TechWise Electronics","CUSTOMER","Argeș, Romania","1","0","0","","Alexandru Udrea","0"
"Roquet","CUSTOMER","Aricestii Rahtivani, Prahova, Romania","1","0","0","","Alexandru Udrea","0"
"Robert Bosch Sistemas Automotrices SA de C.V","CUSTOMER","Av. Robert Bosch Lt.2 Mz. 4 No. 101 | P. Ind. Amistad Chuy Maria Guanajuato, 38194 | MEXICO","1","1","0","","Alexandru Udrea","0"
"Maquia","Vendor","Avinguda Alcoi, 23, Alicante, Alicante, Spain","1","0","0","","Alexandru Udrea","0"
"EE TEST","Vendor","B-dul Industriilor, Nr.4, 300714, Timisoara, Romania","1","0","0","","Alexandru Udrea","0"
"RUBIX","CUSTOMER","B-dul. Constructorilor nr 1A Timisoara, 300571","4","3","2","2025-04-30","Alexandru Udrea","2"
"Universitatea „Vasile Alecsandri” din Bacau","","Bacău, Romania","1","0","0","","Alexandru Udrea","0"
"DCA Dimensional Control","CUSTOMER","Băceşti, Vaslui, Romania","1","1","0","","Alexandru Udrea","0"
"Universitatea Tehnica din Cluj-Napoca  Centrul Universitar Nord din Baia Mare","CUSTOMER","Baia Mare, Romania , str. V.Babes 62 A Maramures","1","0","0","","Alexandru Udrea","0"
"Binartech Kft.","CUSTOMER","Balatonalmádi, Szabolcs u. 4, 8220 Hungary","2","0","1","","Alexandru Udrea","0"
"Stamel","Vendor","Bd. Al. Vlahuta nr.10,  Corp A, Birou A5 500387 Brasov, ROMANIA","1","0","0","","Alexandru Udrea","0"
"Dual Com Tech","CUSTOMER","bd.Iuliu Maniu, bl.C, parter, Deva 330022","1","0","0","","Alexandru Udrea","0"
"Fara Companie","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"Cap group","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"Celestica Romania SRL","CUSTOMER","Bihor, Romania","22","12","7","2025-06-30","Alexandru Udrea","5"
"Chis M.Tiberiu  PFA","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"Computer XXI","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"Faist Light Metals","CUSTOMER","Bihor, Romania","3","2","1","2025-06-16","Alexandru Udrea","1"
"Inteva Products","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"Plastor","CUSTOMER","Bihor, Romania","3","0","1","2025-01-13","Alexandru Udrea","0"
"Plexus Services RO SRL","CUSTOMER","Bihor, Romania","13","36","14","2025-04-17","Alexandru Udrea","28"
"Universitatea din Oradea","CUSTOMER","Bihor, Romania","3","5","3","","Alexandru Udrea","0"
"Vernicolor","CUSTOMER","Bihor, Romania","3","1","0","","Alexandru Udrea","0"
"ByPass Romania","CUSTOMER","Bihor, Romania","2","5","0","","Alexandru Udrea","0"
"romagnetics.ro","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"Ebm-papst Automotive & Drives Romania SRL","CUSTOMER","Bihor, Romania","7","3","3","2025-04-28","Alexandru Udrea","1"
"Newprocond","CUSTOMER","Bihor, Romania","1","1","0","","Alexandru Udrea","0"
"Facultatea de informatica si Stiinte din Oradea","CUSTOMER","Bihor, Romania","1","0","1","","Alexandru Udrea","0"
"Faist Metalworking  SRL","CUSTOMER","Bihor, Romania","1","0","0","","Alexandru Udrea","0"
"H.P. KAYSSER INTERNATIONAL SRL","Vendor","Bistriţa-Năsaud, Romania","1","0","1","2025-11-24","Alexandru Udrea","0"
"Comelf","CUSTOMER","Bistrița, Bistriţa-Năsaud, Romania","1","0","0","","Alexandru Udrea","0"
"Comert Bistrita","CUSTOMER","Bistrița, Bistriţa-Năsaud, Romania","1","0","0","","Alexandru Udrea","0"
"Vestra","CUSTOMER","Botosani, Romania","1","0","0","","Alexandru Udrea","0"
"Dunav","CUSTOMER","Braila, Braila, Romania","1","0","0","","Alexandru Udrea","0"
"AA-Solutions RO S.R.L","","Brașov BV","1","0","0","","Alexandru Udrea","0"
"Aateq","CUSTOMER","Brasov, Romania","2","1","0","","Alexandru Udrea","0"
"Antemie SRL","CUSTOMER","Brasov, Romania","2","1","0","","Alexandru Udrea","0"
"Arc Brasov","Vendor","Brasov, Romania","4","2","0","","Alexandru Udrea","1"
"Autoliv Brasov","CUSTOMER","Brasov, Romania","34","63","5","2025-06-11","Alexandru Udrea","36"
"Benchmark Electronics","CUSTOMER","Brasov, Romania","12","55","6","2025-07-03","Alexandru Udrea","35"
"Bilka Steel","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Bodycote Tratamente Termice Srl","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Clinica Unu","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Comet","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Schaeffler Motion Technologies Romania (Vitesco Technologies Brasov)","CUSTOMER","Brasov, Romania","53","107","7","2025-04-22","Alexandru Udrea","63"
"Davexfor Trans","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Dynamic Ventures","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Electroprecizia","CUSTOMER","Brasov, Romania","15","5","2","2023-04-27","Alexandru Udrea","0"
"Emtech","CUSTOMER","Brasov, Romania","3","5","0","","Alexandru Udrea","4"
"Euroricambi","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Execon Engineering","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"Facultatea de Stiinta si Ingineria Materialelor","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"First Job School","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"FLASHNET Brasov","CUSTOMER","Brasov, Romania","2","1","0","2023-05-30","Alexandru Udrea","0"
"Group Adrimet","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Hansa Flex","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Hutchinson","CUSTOMER","Brasov, Romania","5","1","0","","Alexandru Udrea","0"
"IG Consult","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Imag Pro","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"IUS","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"JD Norman Industries","CUSTOMER","Brasov, Romania","1","1","0","","Alexandru Udrea","0"
"Jouanel Machine Tools","CUSTOMER","Brasov, Romania","3","0","0","","Alexandru Udrea","0"
"Loedige Machine","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Metrom Trading","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"Mont Blanc","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"Multitech","Vendor","Brasov, Romania","3","0","0","","Alexandru Udrea","0"
"Normandia","CUSTOMER","Brasov, Romania","4","0","0","","Alexandru Udrea","0"
"PMG Brasov Powder Metal","CUSTOMER","Brasov, Romania","5","4","2","","Alexandru Udrea","3"
"Preh Romania","CUSTOMER","Brasov, Romania","21","15","7","2025-09-22","Alexandru Udrea","8"
"Procuri Sistem","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"PSI Control","CUSTOMER","Brasov, Romania","8","4","1","2025-06-30","Alexandru Udrea","0"
"Ramos S","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"RO-MEGA TRADE","","Brasov, Romania","2","1","0","","Alexandru Udrea","0"
"Romradiatoare","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"RSF Industrie","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Schaeffler Romania SRL","CUSTOMER","Brasov, Romania","86","127","32","2025-03-03","Alexandru Udrea","68"
"Schulte & Schmidt","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"TATA Technologies","CUSTOMER","Brasov, Romania","2","0","0","","Alexandru Udrea","0"
"Technowood","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Terion Prod","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Terwa Construction Systems","CUSTOMER","Brasov, Romania","3","1","0","2025-07-21","Alexandru Udrea","1"
"Tipo Service","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Total","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
"Trade X","CUSTOMER","Brasov, Romania","1","0","0","","Alexandru Udrea","0"
